iter	Passed	Remaining
0	1	1128
1	1	992
2	2	920
3	3	880
4	4	857
5	5	846
6	5	830
7	6	821
8	7	812
9	8	802
10	8	794
11	9	791
12	10	807
13	11	815
14	12	845
15	13	851
16	14	852
17	15	843
18	16	834
19	17	835
20	17	832
21	18	833
22	19	826
23	20	823
24	21	819
25	21	816
26	22	812
27	23	809
28	24	807
29	24	803
30	25	799
31	26	796
32	27	795
33	27	793
34	28	787
35	29	783
36	29	778
37	30	774
38	31	770
39	31	767
40	32	765
41	33	762
42	34	759
43	34	757
44	35	755
45	36	753
46	37	750
47	37	748
48	38	746
49	39	744
50	39	741
51	40	745
52	42	765
53	43	770
54	44	771
55	45	771
56	46	769
57	47	768
58	48	766
59	48	764
60	49	762
61	50	761
62	51	759
63	51	757
64	52	755
65	53	753
66	53	751
67	54	749
68	55	747
69	56	746
70	56	744
71	57	742
72	58	741
73	59	739
74	59	737
75	60	736
76	61	734
77	61	732
78	62	730
79	63	729
80	64	727
81	64	725
82	65	720
83	65	717
84	66	715
85	67	712
86	67	710
87	68	708
88	68	705
89	69	703
90	70	703
91	71	704
92	72	704
93	73	705
94	73	703
95	74	702
96	75	701
97	76	699
98	76	698
99	77	696
100	78	695
101	78	694
102	79	692
103	80	690
104	80	688
105	81	686
106	81	684
107	82	681
108	83	679
109	83	678
110	84	677
111	85	675
112	85	673
113	86	671
114	86	669
115	87	667
116	88	664
117	88	662
118	89	660
119	89	658
120	90	657
121	90	654
122	91	652
123	92	650
124	92	649
125	93	647
126	93	645
127	94	643
128	95	642
129	95	640
130	96	639
131	96	637
132	97	636
133	98	637
134	99	639
135	100	639
136	101	640
137	102	640
138	103	639
139	103	638
140	104	637
141	105	634
142	105	633
143	106	632
144	107	631
145	107	629
146	108	628
147	108	626
148	109	625
149	110	624
150	110	623
151	111	621
152	112	620
153	112	619
154	113	618
155	114	617
156	115	617
157	115	616
158	116	615
159	117	614
160	117	612
161	118	611
162	118	610
163	119	609
164	120	608
165	120	606
166	121	605
167	122	604
168	122	603
169	123	602
170	123	600
171	124	599
172	125	598
173	125	597
174	126	595
175	127	594
176	127	593
177	128	592
178	129	591
179	129	590
180	130	589
181	131	589
182	132	589
183	132	588
184	133	587
185	134	587
186	134	586
187	135	585
188	136	584
189	136	584
190	138	585
191	139	586
192	140	585
193	140	584
194	141	583
195	142	582
196	142	581
197	143	580
198	144	579
199	144	578
200	145	577
201	145	575
202	146	574
203	146	573
204	147	572
205	148	571
206	148	569
207	149	568
208	149	567
209	150	566
210	151	565
211	151	564
212	152	563
213	153	562
214	153	561
215	154	560
216	154	559
217	155	558
218	156	557
219	156	556
220	157	555
221	158	554
222	158	552
223	159	551
224	159	550
225	160	550
226	161	550
227	162	551
228	163	551
229	164	550
230	165	549
231	165	549
232	166	548
233	167	546
234	167	545
235	168	544
236	168	543
237	169	542
238	170	541
239	171	541
240	171	540
241	172	539
242	172	538
243	173	537
244	174	536
245	174	535
246	175	534
247	175	533
248	176	532
249	177	531
250	177	530
251	178	529
252	178	528
253	179	527
254	180	526
255	180	525
256	181	524
257	181	523
258	182	522
259	183	521
260	183	520
261	184	519
262	185	518
263	185	517
264	186	516
265	186	515
266	187	514
267	188	514
268	189	514
269	190	514
270	190	513
271	191	512
272	192	512
273	192	511
274	193	510
275	194	509
276	194	508
277	195	507
278	196	506
279	196	505
280	197	504
281	197	503
282	198	502
283	199	501
284	199	500
285	200	499
286	200	499
287	201	498
288	202	497
289	202	496
290	203	495
291	204	494
292	204	493
293	205	493
294	205	492
295	206	491
296	207	490
297	207	489
298	208	488
299	209	487
300	209	487
301	210	486
302	211	485
303	211	484
304	212	483
305	212	482
306	213	481
307	214	481
308	214	480
309	215	479
310	216	478
311	216	477
312	217	476
313	217	475
314	218	475
315	219	474
316	219	473
317	220	473
318	221	472
319	222	471
320	222	471
321	223	470
322	224	469
323	224	468
324	225	468
325	226	467
326	226	467
327	227	466
328	228	465
329	228	464
330	229	463
331	230	462
332	230	461
333	231	461
334	231	460
335	232	459
336	233	458
337	233	457
338	234	456
339	234	455
340	235	455
341	236	454
342	236	453
343	237	452
344	237	451
345	238	451
346	239	450
347	239	449
348	240	448
349	241	447
350	241	446
351	242	446
352	242	445
353	243	444
354	244	443
355	244	442
356	245	441
357	245	441
358	246	440
359	247	439
360	247	438
361	248	438
362	249	438
363	250	438
364	251	437
365	252	437
366	253	437
367	254	436
368	255	436
369	255	435
370	256	434
371	256	433
372	257	432
373	258	432
374	258	431
375	259	430
376	259	429
377	260	428
378	261	427
379	261	426
380	262	426
381	262	425
382	263	424
383	264	423
384	264	422
385	265	422
386	266	421
387	266	420
388	267	420
389	268	419
390	269	419
391	269	418
392	270	417
393	271	417
394	272	416
395	272	415
396	273	415
397	274	414
398	274	413
399	275	412
400	275	412
401	276	411
402	277	410
403	277	409
404	278	409
405	279	408
406	280	408
407	280	407
408	281	407
409	282	406
410	283	406
411	284	405
412	284	404
413	285	403
414	285	403
415	286	402
416	287	401
417	287	400
418	288	399
419	288	398
420	289	398
421	290	397
422	290	396
423	291	395
424	291	394
425	292	394
426	293	393
427	293	392
428	294	391
429	295	391
430	295	390
431	296	390
432	297	389
433	298	389
434	299	388
435	299	388
436	300	387
437	301	386
438	302	386
439	302	385
440	303	384
441	304	384
442	304	383
443	305	382
444	306	381
445	307	381
446	308	381
447	309	381
448	310	380
449	311	380
450	312	380
451	313	379
452	313	379
453	314	378
454	315	378
455	316	377
456	317	377
457	318	376
458	318	375
459	319	375
460	320	374
461	321	373
462	321	373
463	322	372
464	323	372
465	324	371
466	324	370
467	325	370
468	326	369
469	326	368
470	327	367
471	328	367
472	328	366
473	329	365
474	330	364
475	330	364
476	331	363
477	332	362
478	332	361
479	333	361
480	334	360
481	334	359
482	335	359
483	336	358
484	337	357
485	337	357
486	338	356
487	339	356
488	340	355
489	341	355
490	342	354
491	342	353
492	343	353
493	344	352
494	344	351
495	345	351
496	346	350
497	346	349
498	347	348
499	348	348
500	348	347
501	349	346
502	350	346
503	350	345
504	351	344
505	352	343
506	352	343
507	353	342
508	354	341
509	355	341
510	355	340
511	356	339
512	357	339
513	357	338
514	358	337
515	359	336
516	359	336
517	360	335
518	361	334
519	361	333
520	362	333
521	363	332
522	363	331
523	364	331
524	365	330
525	365	329
526	366	328
527	367	328
528	367	327
529	368	326
530	369	325
531	369	325
532	370	324
533	371	323
534	371	323
535	372	322
536	373	321
537	373	320
538	374	320
539	374	319
540	375	318
541	376	317
542	376	317
543	377	316
544	378	315
545	378	314
546	379	314
547	380	313
548	380	312
549	381	311
550	381	311
551	382	310
552	383	309
553	383	308
554	384	308
555	384	307
556	385	306
557	386	305
558	386	305
559	387	304
560	388	303
561	388	302
562	389	302
563	389	301
564	390	300
565	391	299
566	391	299
567	392	298
568	393	297
569	393	297
570	394	296
571	395	295
572	395	294
573	396	294
574	396	293
575	397	292
576	398	291
577	398	291
578	399	290
579	400	289
580	401	289
581	401	288
582	402	287
583	403	287
584	403	286
585	404	285
586	404	284
587	405	284
588	406	283
589	406	282
590	407	282
591	408	281
592	408	280
593	409	279
594	410	279
595	410	278
596	411	277
597	412	277
598	412	276
599	413	275
600	414	275
601	415	274
602	415	273
603	416	273
604	417	272
605	417	271
606	418	270
607	419	270
608	420	269
609	420	269
610	421	268
611	422	267
612	423	267
613	423	266
614	424	265
615	424	264
616	425	264
617	426	263
618	426	262
619	427	261
620	427	261
621	428	260
622	429	259
623	430	259
624	430	258
625	431	257
626	432	257
627	432	256
628	433	255
629	433	254
630	434	254
631	435	253
632	436	252
633	436	252
634	437	251
635	437	250
636	438	249
637	439	249
638	439	248
639	440	247
640	441	247
641	442	246
642	443	246
643	444	245
644	445	245
645	446	244
646	446	243
647	449	244
648	450	243
649	451	243
650	452	242
651	453	241
652	453	241
653	454	240
654	456	240
655	456	239
656	457	238
657	458	238
658	459	237
659	460	237
660	461	236
661	462	236
662	463	235
663	464	235
664	465	234
665	465	233
666	466	232
667	466	232
668	467	231
669	468	230
670	469	229
671	469	229
672	470	228
673	470	227
674	471	227
675	472	226
676	474	226
677	475	225
678	475	225
679	476	224
680	477	223
681	477	222
682	478	222
683	478	221
684	479	220
685	480	219
686	480	219
687	481	218
688	481	217
689	482	216
690	483	216
691	483	215
692	484	214
693	485	213
694	485	213
695	486	212
696	486	211
697	487	210
698	488	210
699	489	209
700	490	209
701	491	208
702	492	208
703	493	207
704	494	206
705	494	206
706	495	205
707	496	204
708	496	203
709	497	203
710	498	202
711	498	201
712	499	201
713	500	200
714	500	199
715	501	198
716	502	198
717	502	197
718	504	197
719	505	196
720	505	195
721	506	195
722	507	194
723	508	193
724	509	193
725	509	192
726	510	191
727	511	191
728	512	190
729	512	189
730	513	188
731	513	188
732	514	187
733	515	186
734	515	185
735	516	185
736	517	184
737	518	183
738	518	183
739	520	182
740	520	182
741	521	181
742	522	180
743	523	179
744	523	179
745	524	178
746	524	177
747	525	177
748	526	176
749	526	175
750	527	174
751	527	174
752	528	173
753	528	172
754	529	171
755	530	171
756	530	170
757	531	169
758	532	168
759	532	168
760	533	167
761	534	166
762	534	166
763	535	165
764	535	164
765	536	163
766	536	163
767	537	162
768	538	161
769	538	160
770	539	160
771	540	159
772	540	158
773	541	158
774	542	157
775	542	156
776	543	155
777	543	155
778	544	154
779	545	153
780	545	153
781	546	152
782	547	151
783	547	150
784	548	150
785	549	149
786	550	148
787	550	148
788	551	147
789	552	146
790	552	146
791	553	145
792	553	144
793	554	143
794	555	143
795	555	142
796	556	141
797	556	140
798	557	140
799	558	139
800	558	138
801	559	138
802	559	137
803	560	136
804	561	135
805	561	135
806	562	134
807	562	133
808	563	133
809	564	132
810	564	131
811	565	130
812	566	130
813	566	129
814	567	128
815	567	128
816	568	127
817	569	126
818	569	125
819	570	125
820	570	124
821	571	123
822	572	123
823	572	122
824	573	121
825	574	120
826	574	120
827	575	119
828	575	118
829	576	118
830	577	117
831	577	116
832	578	116
833	579	115
834	580	114
835	581	114
836	582	113
837	582	112
838	583	111
839	583	111
840	584	110
841	585	109
842	585	109
843	586	108
844	586	107
845	587	106
846	588	106
847	588	105
848	589	104
849	590	104
850	590	103
851	591	102
852	592	102
853	592	101
854	593	100
855	593	99
856	594	99
857	595	98
858	595	97
859	596	97
860	597	96
861	597	95
862	598	94
863	598	94
864	599	93
865	600	92
866	600	92
867	601	91
868	601	90
869	602	90
870	603	89
871	603	88
872	604	87
873	605	87
874	605	86
875	606	85
876	607	85
